val 1: mIoU: 0.685, DSC: 0.722, mIoU2: 0.471, DSC2: 0.561
val 2: mIoU: 0.645, DSC: 0.679, mIoU2: 0.482, DSC2: 0.585
val 3: mIoU: 0.670, DSC: 0.707, mIoU2: 0.474, DSC2: 0.569
val 4: mIoU: 0.726, DSC: 0.763, mIoU2: 0.465, DSC2: 0.534
val 5: mIoU: 0.741, DSC: 0.776, mIoU2: 0.475, DSC2: 0.541
val 6: mIoU: 0.751, DSC: 0.786, mIoU2: 0.477, DSC2: 0.543
val 7: mIoU: 0.748, DSC: 0.784, mIoU2: 0.485, DSC2: 0.550
val 8: mIoU: 0.714, DSC: 0.750, mIoU2: 0.478, DSC2: 0.544
val 9: mIoU: 0.756, DSC: 0.790, mIoU2: 0.485, DSC2: 0.550
val 10: mIoU: 0.768, DSC: 0.800, mIoU2: 0.488, DSC2: 0.552
val 11: mIoU: 0.769, DSC: 0.802, mIoU2: 0.491, DSC2: 0.555
val 12: mIoU: 0.755, DSC: 0.789, mIoU2: 0.488, DSC2: 0.552
val 13: mIoU: 0.760, DSC: 0.794, mIoU2: 0.489, DSC2: 0.553
val 14: mIoU: 0.769, DSC: 0.801, mIoU2: 0.492, DSC2: 0.555
val 15: mIoU: 0.773, DSC: 0.804, mIoU2: 0.491, DSC2: 0.554
val 16: mIoU: 0.774, DSC: 0.806, mIoU2: 0.495, DSC2: 0.558
val 17: mIoU: 0.763, DSC: 0.798, mIoU2: 0.486, DSC2: 0.551
val 18: mIoU: 0.773, DSC: 0.805, mIoU2: 0.488, DSC2: 0.552
val 19: mIoU: 0.771, DSC: 0.803, mIoU2: 0.493, DSC2: 0.556
val 20: mIoU: 0.766, DSC: 0.799, mIoU2: 0.495, DSC2: 0.558
test: mIoU: 0.758, DSC: 0.798, mIoU2: 0.500, DSC2: 0.562

DFLoss(lamda=[1,1])
val 1: mIoU: 0.724, DSC: 0.769, mIoU2: 0.531, DSC2: 0.621
val 2: mIoU: 0.700, DSC: 0.742, mIoU2: 0.572, DSC2: 0.688
val 3: mIoU: 0.735, DSC: 0.778, mIoU2: 0.601, DSC2: 0.713
val 4: mIoU: 0.765, DSC: 0.810, mIoU2: 0.644, DSC2: 0.760
val 5: mIoU: 0.759, DSC: 0.803, mIoU2: 0.674, DSC2: 0.789
val 6: mIoU: 0.779, DSC: 0.824, mIoU2: 0.697, DSC2: 0.809
val 7: mIoU: 0.774, DSC: 0.819, mIoU2: 0.687, DSC2: 0.800
val 8: mIoU: 0.788, DSC: 0.833, mIoU2: 0.712, DSC2: 0.821
val 9: mIoU: 0.792, DSC: 0.837, mIoU2: 0.696, DSC2: 0.806
val 10: mIoU: 0.795, DSC: 0.839, mIoU2: 0.713, DSC2: 0.821
val 11: mIoU: 0.803, DSC: 0.847, mIoU2: 0.720, DSC2: 0.826
val 12: mIoU: 0.788, DSC: 0.834, mIoU2: 0.720, DSC2: 0.826
val 13: mIoU: 0.806, DSC: 0.850, mIoU2: 0.740, DSC2: 0.843
val 14: mIoU: 0.801, DSC: 0.845, mIoU2: 0.732, DSC2: 0.836
val 15: mIoU: 0.806, DSC: 0.851, mIoU2: 0.733, DSC2: 0.837
val 16: mIoU: 0.805, DSC: 0.850, mIoU2: 0.738, DSC2: 0.840
val 17: mIoU: 0.798, DSC: 0.842, mIoU2: 0.738, DSC2: 0.841
val 18: mIoU: 0.815, DSC: 0.859, mIoU2: 0.750, DSC2: 0.850
val 19: mIoU: 0.809, DSC: 0.853, mIoU2: 0.740, DSC2: 0.842
val 20: mIoU: 0.807, DSC: 0.851, mIoU2: 0.755, DSC2: 0.854
test: mIoU: 0.806, DSC: 0.850, mIoU2: 0.755, DSC2: 0.854

DFLoss(lamda=[1,1])
val 1: mIoU: 0.705, DSC: 0.751, mIoU2: 0.531, DSC2: 0.643
val 2: mIoU: 0.720, DSC: 0.763, mIoU2: 0.599, DSC2: 0.715
val 3: mIoU: 0.716, DSC: 0.763, mIoU2: 0.601, DSC2: 0.717
val 4: mIoU: 0.756, DSC: 0.801, mIoU2: 0.645, DSC2: 0.762
val 5: mIoU: 0.757, DSC: 0.801, mIoU2: 0.666, DSC2: 0.782
val 6: mIoU: 0.763, DSC: 0.809, mIoU2: 0.660, DSC2: 0.778
val 7: mIoU: 0.787, DSC: 0.832, mIoU2: 0.714, DSC2: 0.823
val 8: mIoU: 0.771, DSC: 0.818, mIoU2: 0.705, DSC2: 0.815
val 9: mIoU: 0.795, DSC: 0.840, mIoU2: 0.723, DSC2: 0.830
val 10: mIoU: 0.787, DSC: 0.832, mIoU2: 0.716, DSC2: 0.824
val 11: mIoU: 0.792, DSC: 0.839, mIoU2: 0.735, DSC2: 0.839
val 12: mIoU: 0.794, DSC: 0.840, mIoU2: 0.721, DSC2: 0.828
val 13: mIoU: 0.796, DSC: 0.840, mIoU2: 0.729, DSC2: 0.834
val 14: mIoU: 0.781, DSC: 0.826, mIoU2: 0.714, DSC2: 0.822
val 15: mIoU: 0.804, DSC: 0.848, mIoU2: 0.720, DSC2: 0.826
val 16: mIoU: 0.802, DSC: 0.846, mIoU2: 0.741, DSC2: 0.843
val 17: mIoU: 0.802, DSC: 0.847, mIoU2: 0.717, DSC2: 0.824
val 18: mIoU: 0.807, DSC: 0.852, mIoU2: 0.740, DSC2: 0.842
val 19: mIoU: 0.801, DSC: 0.846, mIoU2: 0.730, DSC2: 0.835
val 20: mIoU: 0.802, DSC: 0.846, mIoU2: 0.740, DSC2: 0.843
val 21: mIoU: 0.812, DSC: 0.857, mIoU2: 0.739, DSC2: 0.842
val 22: mIoU: 0.812, DSC: 0.856, mIoU2: 0.754, DSC2: 0.853
val 23: mIoU: 0.811, DSC: 0.855, mIoU2: 0.747, DSC2: 0.848
val 24: mIoU: 0.803, DSC: 0.847, mIoU2: 0.754, DSC2: 0.853
val 25: mIoU: 0.813, DSC: 0.857, mIoU2: 0.745, DSC2: 0.846
val 26: mIoU: 0.813, DSC: 0.857, mIoU2: 0.752, DSC2: 0.851
val 27: mIoU: 0.807, DSC: 0.852, mIoU2: 0.724, DSC2: 0.829
val 28: mIoU: 0.811, DSC: 0.855, mIoU2: 0.748, DSC2: 0.848
val 29: mIoU: 0.811, DSC: 0.855, mIoU2: 0.733, DSC2: 0.837
val 30: mIoU: 0.814, DSC: 0.858, mIoU2: 0.753, DSC2: 0.852
test: mIoU: 0.811, DSC: 0.854, mIoU2: 0.757, DSC2: 0.855

DiceLoss
val 1: mIoU: 0.656, DSC: 0.700, mIoU2: 0.524, DSC2: 0.629
val 2: mIoU: 0.662, DSC: 0.709, mIoU2: 0.496, DSC2: 0.602
val 3: mIoU: 0.711, DSC: 0.757, mIoU2: 0.543, DSC2: 0.650
val 4: mIoU: 0.707, DSC: 0.753, mIoU2: 0.555, DSC2: 0.666
val 5: mIoU: 0.700, DSC: 0.745, mIoU2: 0.543, DSC2: 0.657
val 6: mIoU: 0.702, DSC: 0.746, mIoU2: 0.573, DSC2: 0.690
val 7: mIoU: 0.698, DSC: 0.741, mIoU2: 0.565, DSC2: 0.683
val 8: mIoU: 0.714, DSC: 0.760, mIoU2: 0.591, DSC2: 0.708
val 9: mIoU: 0.722, DSC: 0.767, mIoU2: 0.607, DSC2: 0.725
val 10: mIoU: 0.663, DSC: 0.707, mIoU2: 0.550, DSC2: 0.668
val 11: mIoU: 0.723, DSC: 0.768, mIoU2: 0.579, DSC2: 0.698
val 12: mIoU: 0.741, DSC: 0.785, mIoU2: 0.630, DSC2: 0.748
val 13: mIoU: 0.717, DSC: 0.761, mIoU2: 0.616, DSC2: 0.737
val 14: mIoU: 0.754, DSC: 0.799, mIoU2: 0.652, DSC2: 0.769
val 15: mIoU: 0.741, DSC: 0.788, mIoU2: 0.642, DSC2: 0.760
val 16: mIoU: 0.754, DSC: 0.799, mIoU2: 0.646, DSC2: 0.763
val 17: mIoU: 0.742, DSC: 0.786, mIoU2: 0.634, DSC2: 0.753
val 18: mIoU: 0.768, DSC: 0.813, mIoU2: 0.666, DSC2: 0.781
val 19: mIoU: 0.757, DSC: 0.802, mIoU2: 0.660, DSC2: 0.776
val 20: mIoU: 0.765, DSC: 0.809, mIoU2: 0.659, DSC2: 0.775
val 21: mIoU: 0.750, DSC: 0.796, mIoU2: 0.652, DSC2: 0.772
val 22: mIoU: 0.761, DSC: 0.805, mIoU2: 0.663, DSC2: 0.779
val 23: mIoU: 0.753, DSC: 0.798, mIoU2: 0.647, DSC2: 0.764
val 24: mIoU: 0.761, DSC: 0.805, mIoU2: 0.666, DSC2: 0.782
val 25: mIoU: 0.763, DSC: 0.808, mIoU2: 0.660, DSC2: 0.776
val 26: mIoU: 0.775, DSC: 0.819, mIoU2: 0.679, DSC2: 0.792
val 27: mIoU: 0.772, DSC: 0.817, mIoU2: 0.676, DSC2: 0.790
val 28: mIoU: 0.772, DSC: 0.818, mIoU2: 0.694, DSC2: 0.806
val 29: mIoU: 0.773, DSC: 0.817, mIoU2: 0.683, DSC2: 0.796
val 30: mIoU: 0.767, DSC: 0.812, mIoU2: 0.678, DSC2: 0.792
test: mIoU: 0.773, DSC: 0.818, mIoU2: 0.694, DSC2: 0.806

FocalLoss
val 1: mIoU: 0.730, DSC: 0.773, mIoU2: 0.502, DSC2: 0.575
val 2: mIoU: 0.749, DSC: 0.793, mIoU2: 0.557, DSC2: 0.649
val 3: mIoU: 0.728, DSC: 0.774, mIoU2: 0.609, DSC2: 0.725
val 4: mIoU: 0.764, DSC: 0.808, mIoU2: 0.667, DSC2: 0.783
val 5: mIoU: 0.776, DSC: 0.821, mIoU2: 0.657, DSC2: 0.771
val 6: mIoU: 0.789, DSC: 0.835, mIoU2: 0.709, DSC2: 0.819
val 7: mIoU: 0.801, DSC: 0.846, mIoU2: 0.728, DSC2: 0.833
val 8: mIoU: 0.794, DSC: 0.839, mIoU2: 0.730, DSC2: 0.835
val 9: mIoU: 0.797, DSC: 0.842, mIoU2: 0.740, DSC2: 0.843
val 10: mIoU: 0.802, DSC: 0.848, mIoU2: 0.720, DSC2: 0.827
val 11: mIoU: 0.784, DSC: 0.831, mIoU2: 0.688, DSC2: 0.801
val 12: mIoU: 0.807, DSC: 0.851, mIoU2: 0.733, DSC2: 0.836
val 13: mIoU: 0.802, DSC: 0.846, mIoU2: 0.734, DSC2: 0.837
val 14: mIoU: 0.799, DSC: 0.844, mIoU2: 0.743, DSC2: 0.845
val 15: mIoU: 0.793, DSC: 0.839, mIoU2: 0.715, DSC2: 0.824
val 16: mIoU: 0.814, DSC: 0.858, mIoU2: 0.756, DSC2: 0.854
val 17: mIoU: 0.818, DSC: 0.861, mIoU2: 0.757, DSC2: 0.855
val 18: mIoU: 0.812, DSC: 0.855, mIoU2: 0.754, DSC2: 0.852
val 19: mIoU: 0.816, DSC: 0.860, mIoU2: 0.754, DSC2: 0.852
val 20: mIoU: 0.820, DSC: 0.864, mIoU2: 0.767, DSC2: 0.862
val 21: mIoU: 0.820, DSC: 0.863, mIoU2: 0.754, DSC2: 0.852
val 22: mIoU: 0.822, DSC: 0.866, mIoU2: 0.766, DSC2: 0.861
val 23: mIoU: 0.818, DSC: 0.861, mIoU2: 0.763, DSC2: 0.859
val 24: mIoU: 0.813, DSC: 0.858, mIoU2: 0.755, DSC2: 0.854
val 25: mIoU: 0.819, DSC: 0.863, mIoU2: 0.764, DSC2: 0.860
val 26: mIoU: 0.820, DSC: 0.864, mIoU2: 0.771, DSC2: 0.865
val 27: mIoU: 0.821, DSC: 0.865, mIoU2: 0.772, DSC2: 0.865
val 28: mIoU: 0.819, DSC: 0.862, mIoU2: 0.768, DSC2: 0.862
val 29: mIoU: 0.817, DSC: 0.860, mIoU2: 0.760, DSC2: 0.857
val 30: mIoU: 0.819, DSC: 0.862, mIoU2: 0.761, DSC2: 0.857
test: mIoU: 0.820, DSC: 0.863, mIoU2: 0.763, DSC2: 0.860

DFLoss(lamda=[1,3])
val 1: mIoU: 0.806, DSC: 0.857, mIoU2: 0.820, DSC2: 0.897
val 2: mIoU: 0.823, DSC: 0.871, mIoU2: 0.834, DSC2: 0.906
val 3: mIoU: 0.826, DSC: 0.873, mIoU2: 0.834, DSC2: 0.906
val 4: mIoU: 0.835, DSC: 0.881, mIoU2: 0.842, DSC2: 0.911
val 5: mIoU: 0.834, DSC: 0.881, mIoU2: 0.846, DSC2: 0.914
val 6: mIoU: 0.842, DSC: 0.888, mIoU2: 0.850, DSC2: 0.916
val 7: mIoU: 0.838, DSC: 0.884, mIoU2: 0.853, DSC2: 0.918
val 8: mIoU: 0.836, DSC: 0.883, mIoU2: 0.843, DSC2: 0.911
val 9: mIoU: 0.842, DSC: 0.888, mIoU2: 0.848, DSC2: 0.914
val 10: mIoU: 0.849, DSC: 0.893, mIoU2: 0.860, DSC2: 0.922
val 11: mIoU: 0.844, DSC: 0.889, mIoU2: 0.853, DSC2: 0.918
val 12: mIoU: 0.842, DSC: 0.888, mIoU2: 0.854, DSC2: 0.918
val 13: mIoU: 0.848, DSC: 0.892, mIoU2: 0.859, DSC2: 0.922
val 14: mIoU: 0.850, DSC: 0.894, mIoU2: 0.859, DSC2: 0.922
val 15: mIoU: 0.847, DSC: 0.892, mIoU2: 0.853, DSC2: 0.918
val 16: mIoU: 0.847, DSC: 0.891, mIoU2: 0.861, DSC2: 0.923
val 17: mIoU: 0.848, DSC: 0.892, mIoU2: 0.860, DSC2: 0.923
val 18: mIoU: 0.849, DSC: 0.893, mIoU2: 0.860, DSC2: 0.923
val 19: mIoU: 0.849, DSC: 0.893, mIoU2: 0.861, DSC2: 0.923
val 20: mIoU: 0.844, DSC: 0.888, mIoU2: 0.861, DSC2: 0.923
val 21: mIoU: 0.850, DSC: 0.894, mIoU2: 0.861, DSC2: 0.923
val 22: mIoU: 0.843, DSC: 0.887, mIoU2: 0.861, DSC2: 0.923
val 23: mIoU: 0.844, DSC: 0.888, mIoU2: 0.861, DSC2: 0.923
val 24: mIoU: 0.844, DSC: 0.888, mIoU2: 0.861, DSC2: 0.923
val 25: mIoU: 0.846, DSC: 0.891, mIoU2: 0.861, DSC2: 0.923
val 26: mIoU: 0.844, DSC: 0.888, mIoU2: 0.861, DSC2: 0.923
val 27: mIoU: 0.843, DSC: 0.887, mIoU2: 0.861, DSC2: 0.923
val 28: mIoU: 0.844, DSC: 0.888, mIoU2: 0.861, DSC2: 0.923
val 29: mIoU: 0.846, DSC: 0.890, mIoU2: 0.861, DSC2: 0.923
val 30: mIoU: 0.846, DSC: 0.890, mIoU2: 0.860, DSC2: 0.923
test: mIoU: 0.849, DSC: 0.892, mIoU2: 0.863, DSC2: 0.924

